,eps,well_clustered,well_clustered_total,method,chain,minsize,feature,epsilon_scaled
0,0.2,95.34883720930233,1.407967032967033,deeptcr,TRB,2,CDR3,0.0
1,0.3,95.23809523809524,9.615384615384615,deeptcr,TRB,2,CDR3,0.09999999999999998
2,0.4,83.30170777988614,15.07554945054945,deeptcr,TRB,2,CDR3,0.2
3,0.5,68.625,18.853021978021978,deeptcr,TRB,2,CDR3,0.3
4,0.6,48.53072128227961,18.71565934065934,deeptcr,TRB,2,CDR3,0.39999999999999997
5,0.7,45.08960573476703,21.600274725274726,deeptcr,TRB,2,CDR3,0.49999999999999994
6,0.8,32.79857397504456,18.956043956043956,deeptcr,TRB,2,CDR3,0.6000000000000001
7,0.9,29.6908315565032,19.127747252747252,deeptcr,TRB,2,CDR3,0.7
8,1.2,25.462555066079297,19.8489010989011,deeptcr,TRB,2,CDR3,1.0
0,0.2,92.5925925925926,0.8638562543192813,deeptcr,TRB,3,CDR3,0.0
1,0.3,94.5945945945946,6.046993780234969,deeptcr,TRB,3,CDR3,0.09999999999999998
2,0.4,83.21167883211679,11.817553559087768,deeptcr,TRB,3,CDR3,0.2
3,0.5,71.68405365126677,16.62059433310297,deeptcr,TRB,3,CDR3,0.3
4,0.6,56.333676622039135,18.901174844505874,deeptcr,TRB,3,CDR3,0.39999999999999997
5,0.7,45.22028262676642,18.79751209398756,deeptcr,TRB,3,CDR3,0.49999999999999994
6,0.8,41.147994467496545,20.559778852798893,deeptcr,TRB,3,CDR3,0.6000000000000001
7,0.9,35.03380454824831,19.695922598479612,deeptcr,TRB,3,CDR3,0.7
8,1.2,24.25249169435216,17.65722183828611,deeptcr,TRB,3,CDR3,1.0
0,0.2,87.5,0.5065123010130246,deeptcr,TRA,2,CDR3,0.0
1,0.3,82.58706467661692,6.005788712011578,deeptcr,TRA,2,CDR3,0.09999999999999998
2,0.4,77.70961145194273,13.748191027496382,deeptcr,TRA,2,CDR3,0.2
3,0.5,69.6755994358251,17.872648335745296,deeptcr,TRA,2,CDR3,0.3
4,0.6,60.61899679829242,20.549927641099856,deeptcr,TRA,2,CDR3,0.39999999999999997
5,0.7,50.81127241673783,21.526772793053546,deeptcr,TRA,2,CDR3,0.49999999999999994
6,0.8,39.53488372093023,19.68162083936324,deeptcr,TRA,2,CDR3,0.6000000000000001
7,0.9,30.740276035131743,17.72793053545586,deeptcr,TRA,2,CDR3,0.7
8,1.2,19.25133689839572,14.327062228654125,deeptcr,TRA,2,CDR3,1.0
0,0.2,100.0,0.9447674418604651,deeptcr,TRA,3,CDR3,0.0
1,0.3,73.97260273972603,5.886627906976744,deeptcr,TRA,3,CDR3,0.09999999999999998
2,0.4,69.26147704590818,12.609011627906977,deeptcr,TRA,3,CDR3,0.2
3,0.5,62.23067173637516,17.84156976744186,deeptcr,TRA,3,CDR3,0.3
4,0.6,55.24475524475525,20.094476744186046,deeptcr,TRA,3,CDR3,0.39999999999999997
5,0.7,46.688741721854306,20.49418604651163,deeptcr,TRA,3,CDR3,0.49999999999999994
6,0.8,41.916605705925384,20.82122093023256,deeptcr,TRA,3,CDR3,0.6000000000000001
7,0.9,34.897172236503856,19.73110465116279,deeptcr,TRA,3,CDR3,0.7
8,1.2,21.08641975308642,15.515988372093023,deeptcr,TRA,3,CDR3,1.0
0,0.5,99.12663755458516,5.5460542389445395,deeptcr,TR,2,CDR3,0.0
1,1.0,96.70781893004116,17.224529684827754,deeptcr,TR,2,CDR3,0.06666666666666667
2,2.0,90.74605451936873,30.906425604690934,deeptcr,TR,2,CDR3,0.2
3,3.0,73.8953783646521,35.54849743464452,deeptcr,TR,2,CDR3,0.3333333333333333
4,4.0,60.953506698187546,37.79623747862204,deeptcr,TR,2,CDR3,0.4666666666666667
5,5.0,49.153689911983754,35.47520156364525,deeptcr,TR,2,CDR3,0.6
6,6.0,41.914697760049094,33.37405326166626,deeptcr,TR,2,CDR3,0.7333333333333333
7,7.0,13.149673388241977,11.31199609088688,deeptcr,TR,2,CDR3,0.8666666666666667
8,8.0,1.746155850925202,1.6369411189836305,deeptcr,TR,2,CDR3,1.0
0,0.5,100.0,3.8716000980151923,deeptcr,TR,3,CDR3,0.0
1,1.0,98.13559322033899,14.187699093359472,deeptcr,TR,3,CDR3,0.06666666666666667
2,2.0,94.82439926062847,25.140896839010047,deeptcr,TR,3,CDR3,0.2
3,3.0,92.89813486370157,31.732418524871356,deeptcr,TR,3,CDR3,0.3333333333333333
4,4.0,83.19421257651642,36.6331781426121,deeptcr,TR,3,CDR3,0.4666666666666667
5,5.0,72.3423838011965,38.519970595442295,deeptcr,TR,3,CDR3,0.6
6,6.0,56.557377049180324,35.506003430531734,deeptcr,TR,3,CDR3,0.7333333333333333
7,7.0,50.7563025210084,37.00073511394266,deeptcr,TR,3,CDR3,0.8666666666666667
8,8.0,7.026386006522384,5.807400147022789,deeptcr,TR,3,CDR3,1.0
