balance,fold,roc
0.0,0,0.9363963813409211
0.0,1,0.9324151491092768
0.0,2,0.9430131565084052
0.0,3,0.946394119165536
0.0,4,0.9257469131489309
0.0,5,0.9461079480321557
0.0,6,0.9489188673875419
0.0,7,0.932523960595779
0.0,8,0.9336160250838609
0.0,9,0.9615472766560247
1.0,0,0.9493704132915208
1.0,1,0.9467790699556626
1.0,2,0.9532955254713208
1.0,3,0.943781403658015
1.0,4,0.9388648086926291
1.0,5,0.9428373105451331
1.0,6,0.9526114392462723
1.0,7,0.9435449814272375
1.0,8,0.9507271940342981
1.0,9,0.9382385656307531
10.0,0,0.9127840032130456
10.0,1,0.9179649189871544
10.0,2,0.9190508098555145
10.0,3,0.9488865332948745
10.0,4,0.9284231817963551
10.0,5,0.9327210911870238
10.0,6,0.9274284840775743
10.0,7,0.9298493392207299
10.0,8,0.9306467284556185
10.0,9,0.9308690277126765
100.0,0,0.8413239183776267
100.0,1,0.8675121004010611
100.0,2,0.8307068412542528
100.0,3,0.8433670101159824
100.0,4,0.8567892867512095
100.0,5,0.8628376143304438
100.0,6,0.5959726400016704
100.0,7,0.8699697150913375
100.0,8,0.8528931814234518
100.0,9,0.8570445103678935
500.0,0,0.5055587700115327
500.0,1,0.5117325864888072
500.0,2,0.7496250181629458
500.0,3,0.590328529305527
500.0,4,0.6085874136390976
500.0,5,0.5171070592336688
500.0,6,0.5466195350940429
500.0,7,0.6803266022686691
500.0,8,0.47455026457692
500.0,9,0.5220041724874322
